resto_id,resto_name,url,kota,rating,preferred,opening_id
48,lets toast mnc kebon sirih,https://food.grab.com/id/id/restaurant/lets-toast-mnc-kebon-sirih-delivery/6-C2U1J64AVVMHCX?,Jakarta,4.5,1,25.0
49,the harvest thamrin,https://food.grab.com/id/id/restaurant/the-harvest-thamrin-delivery/IDGFSTI00001y2j?,Jakarta,4.9,1,16.0
50,bakpau a satu grand indonesia west mall,https://food.grab.com/id/id/restaurant/bakpau-a-satu-grand-indonesia-west-mall-delivery/6-C35GGYLCDA62CE?,Jakarta,4.8,1,26.0
51,cinnabon grand indonesia,https://food.grab.com/id/id/restaurant/cinnabon-grand-indonesia-delivery/6-C3UAEA6CNP3APA?,Jakarta,4.9,1,15.0
52,dunkin donuts hayam wuruk,https://food.grab.com/id/id/restaurant/dunkin-donuts-hayam-wuruk-delivery/IDGFSTI00000cbt?,Jakarta,4.7,1,10.0
53,dapur cokelat menteng,https://food.grab.com/id/id/restaurant/dapur-cokelat-menteng-delivery/IDGFSTI00000se0?,Jakarta,4.8,1,27.0
54,first love patisserie plaza indonesia mall,https://food.grab.com/id/id/restaurant/first-love-patisserie-plaza-indonesia-mall-delivery/IDGFSTI00001qhv?,Jakarta,4.9,1,15.0
55,grace patisserie menteng,https://food.grab.com/id/id/restaurant/grace-patisserie-menteng-delivery/6-C3EAGKBGCNAETX?,Jakarta,5.0,1,2.0
56,kue ulang tahun anis johar baru,https://food.grab.com/id/id/restaurant/kue-ulang-tahun-anis-johar-baru-delivery/6-C2EACRCFJCJKGE?,Jakarta,4.5,1,28.0
57,kedai roti kobi thamrin,https://food.grab.com/id/id/restaurant/kedai-roti-kobi-thamrin-delivery/6-CYVZTP53VYKACX?,Jakarta,4.7,1,25.0
58,dear butter croffle the boxxin kebon kelapa,https://food.grab.com/id/id/restaurant/dear-butter-croffle-the-boxxin-kebon-kelapa-delivery/6-C3DJEUNACB4YKE?,Jakarta,4.8,1,27.0
59,breadlife ketapang,https://food.grab.com/id/id/restaurant/breadlife-ketapang-delivery/6-C3VZNUC3GKEYLX?,Jakarta,4.8,1,13.0
60,bakpao gaga kawangkoan petojo,https://food.grab.com/id/id/restaurant/bakpao-gaga-kawangkoan-petojo-delivery/6-C3MTEUJDSEWZJ2?,Jakarta,4.7,1,2.0
61,martabak 777 sb kebon kacang,https://food.grab.com/id/id/restaurant/martabak-777-sb-kebon-kacang-delivery/6-C3UYRAVGVEUFN6?,Jakarta,4.6,1,29.0
62,nutriliv cideng,https://food.grab.com/id/id/restaurant/nutriliv-cideng-delivery/6-C2DZTZL2C2J2E2?,Jakarta,4.9,1,2.0
63,king egg tart roti bakery and coffee kartini,https://food.grab.com/id/id/restaurant/king-egg-tart-roti-bakery-and-coffee-kartini-delivery/6-CZKHCY4VL2XFWE?,Jakarta,4.9,1,30.0
64,home made menara thamrin,https://food.grab.com/id/id/restaurant/home-made-menara-thamrin-delivery/6-C2CFLAXJA2DJTX?,Jakarta,4.8,1,2.0
65,kief bakery raden saleh,https://food.grab.com/id/id/restaurant/kief-bakery-raden-saleh-delivery/6-C3LAAZL2JT5VEN?,Jakarta,4.3,1,16.0
66,chill n box by dapur cokelat sawah besar,https://food.grab.com/id/id/restaurant/chill-n-box-by-dapur-cokelat-sawah-besar-delivery/6-C3TDA7KDLJBZHE?,Jakarta,4.7,1,31.0
67,latre patisserie menteng,https://food.grab.com/id/id/restaurant/latre-patisserie-menteng-delivery/6-C252CGLTLKUERE?,Jakarta,4.8,1,27.0
68,union grand indonesia,https://food.grab.com/id/id/restaurant/union-grand-indonesia-delivery/IDGFSTI00002ylp?,Jakarta,4.9,1,2.0
69,bika ambon rica rico harmoniexchange hxc,https://food.grab.com/id/id/restaurant/bika-ambon-rica-rico-harmoniexchange-hxc-delivery/6-C3VHBE6TLKMZJE?,Jakarta,5.0,1,2.0
70,tomaple plaza indonesia,https://food.grab.com/id/id/restaurant/tomaple-plaza-indonesia-delivery/6-C3BXRELTPF3UNJ?,Jakarta,4.8,1,15.0
71,don bakeshop grand indonesia,https://food.grab.com/id/id/restaurant/don-bakeshop-grand-indonesia-delivery/6-C3C1VN33TEBDGA?,Jakarta,4.9,1,15.0
72,snug coffee tanjung duren,https://food.grab.com/id/id/restaurant/snug-coffee-tanjung-duren-delivery/6-C32JFEECFCJEVA?,Jakarta,4.9,1,10.0
73,ayam geprek gold chick kebon kacang,https://food.grab.com/id/id/restaurant/ayam-geprek-gold-chick-kebon-kacang-delivery/6-C2W3E34BEGEASA?,Jakarta,4.0,1,32.0
74,mcdonald s thamrin jaya,https://food.grab.com/id/id/restaurant/mcdonald-s-thamrin-jaya-delivery/6-C4BGN76ZTUCJJ2?,Jakarta,4.5,1,32.0
75,burger king cideng jakarta,https://food.grab.com/id/id/restaurant/burger-king-cideng-jakarta-delivery/6-CYN3PFCFR4M2TN?,Jakarta,4.5,1,32.0
76,dimsum endut kwitang,https://food.grab.com/id/id/restaurant/dimsum-endut-kwitang-delivery/6-C22WGZBHFCLZRA?,Jakarta,4.9,1,33.0
77,dapur mama kembar kota bambu utara,https://food.grab.com/id/id/restaurant/dapur-mama-kembar-kota-bambu-utara-delivery/6-C2ACL2BGG7E2FA?,Jakarta,4.7,1,32.0
78,pisang goreng pontianak zackhey kebon kacang,https://food.grab.com/id/id/restaurant/pisang-goreng-pontianak-zackhey-kebon-kacang-delivery/6-CYL1PBNYR4KYCA?,Jakarta,4.8,1,9.0
79,pisang goreng madu ny rikrik petojo selatan,https://food.grab.com/id/id/restaurant/pisang-goreng-madu-ny-rikrik-petojo-selatan-delivery/6-C24VC25KNGKAEE?,Jakarta,4.5,1,2.0
