Rank,TV Series Title,Year Started,Year Ended,Duration,Genres,Rating,Votes,Description,Actors
15,Yellowstone,2018,2023,60,"['Drama', ' Western']",8.7,"183,215",A ranching family in Montana faces off against others encroaching on their land.,"['Kevin Costner', ' Luke Grimes', ' Kelly Reilly', ' Wes Bentley']"
16,Breaking Bad,2008,2013,49,"['Crime', ' Drama', ' Thriller']",9.5,"2,002,441",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"['Bryan Cranston', ' Aaron Paul', ' Anna Gunn', ' Betsy Brandt']"
17,Outlander,2014,Present,60,"['Drama', ' Fantasy', ' Romance']",8.4,"168,649","Claire Beauchamp Randall, a nurse in World War II, mysteriously goes back in time to Scotland in 1743. There, she meets a dashing Highland warrior and gets drawn into an epic rebellion.","['Caitríona Balfe', ' Sam Heughan', ' Sophie Skelton', ' Richard Rankin']"
18,Warrior,2019,Present,60,"['Action', ' Crime', ' Drama']",8.4,"30,895","During the Tong Wars in the late 1800s, Ah Sahm, a martial arts prodigy from China, immigrates to San Francisco and becomes a hatchet man for the most powerful tong in Chinatown.","['Andrew Koji', ' Langley Kirkwood', ' Olivia Cheng', ' Dianne Doan']"
19,The Walking Dead,2010,2022,44,"['Drama', ' Horror', ' Thriller']",8.1,"1,035,491",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"['Andrew Lincoln', ' Norman Reedus', ' Melissa McBride', ' Lauren Cohan']"
20,The Blacklist,2013,2023,43,"['Crime', ' Drama', ' Mystery']",8.0,"266,363","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","['James Spader', ' Megan Boone', ' Diego Klattenhoff', ' Ryan Eggold']"
21,The Boys,2019,Present,60,"['Action', ' Comedy', ' Crime']",8.7,"565,333",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"['Karl Urban', ' Jack Quaid', ' Antony Starr', ' Erin Moriarty']"
22,And Just Like That...,2021,Present,40,"['Comedy', ' Drama', ' Romance']",5.7,"31,904","The series follows Carrie, Miranda, and Charlotte as they navigate the journey from the complicated reality of life and friendship in their 30s to the even more complicated reality of life and friendship in their 50s.","['Sarah Jessica Parker', ' Cynthia Nixon', ' Kristin Davis', ' Sara Ramirez']"
23,Stranger Things,2016,2024,51,"['Drama', ' Fantasy', ' Horror']",8.7,"1,256,771","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","['Millie Bobby Brown', ' Finn Wolfhard', ' Winona Ryder', ' David Harbour']"
24,The Summer I Turned Pretty,2022,Present,45,"['Drama', ' Romance']",7.4,"26,540","A love triangle between one girl and two brothers. A story about first love, first heartbreak, and the magic of that one perfect summer.","['Lola Tung', ' Christopher Briney', ' Gavin Casalegno', ' Sean Kaufman']"
