Ranking,World Ranking,University,Country,Impact Rank,Openness Rank,Excellence Rank,Uni Profile
2490,25094,IAI Al Aziziyah,Indonesia,27828,5955,7212,https://en.wikipedia.org/wiki/IAI Al Aziziyah
2491,25094,Institut Agama Islam Az Zaytun Indonesia,Indonesia,24928,6553,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
2492,25094,Politeknik Aceh Selatan,Indonesia,24928,6553,7212,https://en.wikipedia.org/wiki/Politeknik Aceh Sela
2493,25094,Politeknik MKM Brebes,Indonesia,24928,6553,7212,https://en.wikipedia.org/wiki/Politeknik MKM Brebe
2494,25094,Samson College of Science & Technology,Philipine,24928,6553,7212,https://en.wikipedia.org/wiki/Samson College of Sc
2495,25094,Sekolah Tinggi Agama Islam STAI Ali bin Abi Thalib Surabaya,Indonesia,24928,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Agama
2496,25094,Sekolah Tinggi Agama Islam Nahdlatul Ulama STAINU Purworejo,Indonesia,24928,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Agama
2497,25094,Sekolah Tinggi Ilmu Ekonomi STIE Yapan Surabaya,Indonesia,24928,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2498,25094,Sekolah Tinggi Ilmu Kesehatan STIKES Ranah Minang,Indonesia,24928,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2499,25169,Institut Agama Islam Hamzanwadi NW Pancor,Indonesia,26322,6389,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
2500,25171,Universitas 45 Surabaya,Indonesia,25008,6553,7212,https://ror.org/04xmkh626
2501,25171,Sekolah Tinggi Ilmu Ekonomi STIE Swadaya,Indonesia,25008,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2502,25171,Akademi Teknologi Bank Darah Surakarta,Indonesia,25008,6553,7212,https://en.wikipedia.org/wiki/Akademi Teknologi Ba
2503,25171,Akademi Kebidanan AKBID Kharisma Husada Binjai,Indonesia,25008,6553,7212,https://en.wikipedia.org/wiki/Akademi Kebidanan AK
2504,25171,Akademi Komunitas Negeri AKN Pacitan,Indonesia,25008,6553,7212,https://en.wikipedia.org/wiki/Akademi Komunitas Ne
2505,25171,Akademi Pariwisata NHI Bandung,Indonesia,25008,6553,7212,https://en.wikipedia.org/wiki/Akademi Pariwisata N
2506,25171,Akademi Manajemen Informatika dan Komputer AMIK JTC Semarang,Indonesia,25008,6553,7212,https://en.wikipedia.org/wiki/Akademi Manajemen In
2507,25171,Oasis College,Malaysia,25008,6553,7212,https://en.wikipedia.org/wiki/Oasis College
2508,25171,Institut Agama Islam IAI Tafaqquh Fiddin Dumai,Indonesia,25008,6553,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
2509,25171,KLIA College,Malaysia,25008,6553,7212,https://en.wikipedia.org/wiki/KLIA College
2510,25171,Surigao del Norte State University,Philipine,25008,6553,7212,https://en.wikipedia.org/wiki/Surigao del Norte St
2511,25171,Sekolah Tinggi Ilmu Ekonomi STIE Tridharma Bandung,Indonesia,25008,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2512,25171,Sekolah Tinggi Ilmu Kesehatan STIKES Widya Nusantara Palu,Indonesia,25008,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2513,25171,Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP Nasional,Indonesia,25008,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Kegur
2514,25171,Universitas Bali Internasional,Indonesia,25008,6553,7212,https://en.wikipedia.org/wiki/Universitas Bali Int
2515,25252,Universitas Sariputra Indonesia Tomohon UNSRIT,Indonesia,25091,6553,7212,https://ror.org/04n1dph88
2516,25252,Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP Setia Budhi Rangkasbitung,Indonesia,25091,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Kegur
2517,25252,Akademi Keperawatan AKPER Bina Insan,Indonesia,25091,6553,7212,https://en.wikipedia.org/wiki/Akademi Keperawatan 
2518,25252,Politeknik Metro Johor Bahru,Malaysia,25091,6553,7212,https://en.wikipedia.org/wiki/Politeknik Metro Joh
2519,25252,Saint Joseph College Maasin,Philipine,25091,6553,7212,https://en.wikipedia.org/wiki/Saint Joseph College
2520,25252,Sekolah Tinggi Agama Kristen Protestan Negeri STAKPN Sentani,Indonesia,25091,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Agama
2521,25252,Sekolah Tinggi Ilmu Kesehatan STIKES Banten Tangerang,Indonesia,25091,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2522,25252,Sekolah Tinggi Ilmu Kesehatan STIKES Muhammadiyah Pringsewu,Indonesia,25091,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2523,25252,Sekolah Tinggi Pariwisata STP Bogor,Indonesia,25091,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Pariw
2524,25252,Sekolah Tinggi Teologi Injili Indonesia STTII Surabaya,Indonesia,25091,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Teolo
2525,25324,Universitas BTH Bakti Tunas Husada,Indonesia,28424,5712,7212,https://en.wikipedia.org/wiki/Universitas BTH Bakt
2526,25325,Sekolah Tinggi Ilmu Ekonomi STIE Pasim Sukabumi,Indonesia,25170,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2527,25325,Akademi Kebidanan AKBID HIP Melayani Sepenuh Hati,Indonesia,25170,6553,7212,https://en.wikipedia.org/wiki/Akademi Kebidanan AK
2528,25325,Akademi Maritim Nusantara,Indonesia,25170,6553,7212,https://en.wikipedia.org/wiki/Akademi Maritim Nusa
2529,25325,Institute CECE,Malaysia,25170,6553,7212,https://en.wikipedia.org/wiki/Institute CECE
2530,25325,Hue College of Arts,Vietnam,25170,6553,7212,https://en.wikipedia.org/wiki/Hue College of Arts 
2531,25325,Akademi Farmasi IKIFA,Indonesia,25170,6553,7212,https://en.wikipedia.org/wiki/Akademi Farmasi IKIF
2532,25325,Kampus New Media,Indonesia,25170,6553,7212,https://en.wikipedia.org/wiki/Kampus New Media
2533,25325,Sekolah Tinggi Akuntansi Negara STAN Nomor 1,Indonesia,25170,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Akunt
2534,25325,Sekolah Tinggi Ilmu Sosial dan Ilmu Politik STISIP Banten Raya Pandeglang,Indonesia,25170,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2535,25325,Universitas Islam Negeri Sjech M. Djamil Djambek Bukittinggi,Indonesia,29928,4289,7212,https://en.wikipedia.org/wiki/Universitas Islam Ne
2536,25325,Universitas Perwira Purbalingga UNPERBA,Indonesia,25170,6553,7212,https://en.wikipedia.org/wiki/Universitas Perwira 
2537,25325,Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP Widya Yuwana Madiun,Indonesia,25170,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Kegur
2538,25409,Akademi Manajemen Informatika dan Komputer AMIK PGRI Kebumen,Indonesia,25259,6553,7212,https://en.wikipedia.org/wiki/Akademi Manajemen In
2539,25409,Akademi Manajemen Informatika dan Komputer STMIK Catur Sakti Kendari,Indonesia,25259,6553,7212,https://en.wikipedia.org/wiki/Akademi Manajemen In
2540,25409,Don Bosco College,Philipine,25259,6553,7212,https://en.wikipedia.org/wiki/Don Bosco College
2541,25409,Food Institute of Malaysia,Malaysia,25259,6553,7212,https://en.wikipedia.org/wiki/Food Institute of Ma
2542,25409,Mahasarakham College of Agriculture and Technology,Thailand,25259,6553,7212,https://en.wikipedia.org/wiki/Mahasarakham College
2543,25409,Politeknik Bisnis Indonesia,Indonesia,25259,6553,7212,https://en.wikipedia.org/wiki/Politeknik Bisnis In
2544,25409,Politeknik Kesehatan Bhakti Setya Indonesia POLTEKES BSI Bantul,Indonesia,25259,6553,7212,https://en.wikipedia.org/wiki/Politeknik Kesehatan
2545,25409,Sekolah Tinggi Ilmu Administrasi dan Manajemen Kepelabuhan Barunawati Surabaya,Indonesia,25259,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2546,25409,Sekolah Tinggi Agama Islam Cendikia Islami,Indonesia,25259,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Agama
2547,25409,Sekolah Tinggi Agama Islam STAI NU Pacitan,Indonesia,25259,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Agama
2548,25409,STIB Sekolah Tinggi Islam Blambangan Banyuwangi,Indonesia,25259,6553,7212,https://en.wikipedia.org/wiki/STIB Sekolah Tinggi 
2549,25409,Sekolah Tinggi Ilmu STI Keperawatan Famika Sungguminasa Gowa,Indonesia,25259,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2550,25409,Sekolah Tinggi Ilmu Kesehatan STIKES Immanuel Bandung,Indonesia,25259,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2551,25409,Sekolah Tinggi Teologi STT Cipanas,Indonesia,25259,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Teolo
2552,25484,Universitas Soerjo Ngawi,Indonesia,25340,6553,7212,https://ror.org/000ks8283
2553,25484,Universitas Muhammadiyah Enrekang,Indonesia,25340,6553,7212,https://en.wikipedia.org/wiki/Universitas Muhammad
2554,25484,Universitas PGRI Sumatera Barat,Indonesia,25340,6553,7212,https://en.wikipedia.org/wiki/Universitas PGRI Sum
2555,25484,Akademi Pariwisata Indonesia AKPINDO,Indonesia,25340,6553,7212,https://en.wikipedia.org/wiki/Akademi Pariwisata I
2556,25484,AK-Tekstil Solo Akademi Komunitas Industri Tekstil dan Produk Tekstil Surakarta,Indonesia,25340,6553,7212,https://en.wikipedia.org/wiki/AK-Tekstil Solo Akad
2557,25484,Akademi Manajemen Informatika dan Komputer AMIK Mahaputra Riau Pekanbaru,Indonesia,25340,6553,7212,https://en.wikipedia.org/wiki/Akademi Manajemen In
2558,25484,Akademi Manajemen Informatika dan Komputer AMIK Citra Buana Indonesia Sukabumi,Indonesia,25340,6553,7212,https://en.wikipedia.org/wiki/Akademi Manajemen In
2559,25484,Hue Conservatory,Vietnam,25340,6553,7212,https://en.wikipedia.org/wiki/Hue Conservatory / N
2560,25484,INPENS International College,Malaysia,25340,6553,7212,https://en.wikipedia.org/wiki/INPENS International
2561,25484,Sekolah Tinggi Agama Islam STAI Attanwir Talun Sumberjo Bojonegoro,Indonesia,25340,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Agama
2562,25484,Sekolah Tinggi Bahasa Asing STBA Persahabatan Internasional Asia STBA PIA Kota Medan,Indonesia,25340,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Bahas
2563,25484,Sekolah Tinggi Ilmu Kesehatan STIKES Duta Gama Klaten,Indonesia,25340,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2564,25484,Sekolah Tinggi Ilmu Manajemen Indonesia STIMI Handayani Denpasar,Indonesia,25340,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2565,25484,Akademi Keperawatan AKPER Yakpermas 21 Maros,Indonesia,25340,6553,7212,https://en.wikipedia.org/wiki/Akademi Keperawatan 
2566,25555,National University of Battambang,Kamboja,25418,6553,7212,https://en.wikipedia.org/wiki/National University 
2567,25555,Sekolah Tinggi Ilmu Ekonomi Pariwisata STIEPARI Semarang,Indonesia,28235,5902,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2568,25557,Universitas Lakidende Unahaa,Indonesia,25419,6553,7212,https://ror.org/02a1v1364
2569,25557,Institut Pertanian INTAN,Indonesia,25419,6553,7212,https://ror.org/04sb3zx15
2570,25557,Sekolah Tinggi Manajemen Informatika dan Komputer STMIK Cahaya Surya Kediri,Indonesia,25419,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Manaj
2571,25557,Institut Agama Islam Nahdlatul Ulama IAINU Tuban,Indonesia,25419,6553,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
2572,25557,Northeastern college,Philipine,25419,6553,7212,https://en.wikipedia.org/wiki/Northeastern college
2573,25557,San Pedro College of Business Administration,Philipine,25419,6553,7212,https://en.wikipedia.org/wiki/San Pedro College of
2574,25557,Sekolah Tinggi Ilmu Kesehatan STIKES RS Husada,Indonesia,25419,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2575,25557,Universitas Dumoga Kotamobagu,Indonesia,25419,6553,7212,https://en.wikipedia.org/wiki/Universitas Dumoga K
2576,25557,Univeristas Sebelas April UNSAP Sumedang,Indonesia,25419,6553,7212,https://en.wikipedia.org/wiki/Univeristas Sebelas 
2577,25557,Universitas Siber Asia,Indonesia,25419,6553,7212,https://en.wikipedia.org/wiki/Universitas Siber As
2578,25628,Akademi Keperawatan AKPER dan Akademi Kebidanan Panca Bhakti Bandar Lampung,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Akademi Keperawatan 
2579,25628,Universitas HKBP Nommensen Pematangsiantar,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Universitas HKBP Nom
2580,25628,Akademi Kebidanan AKBID Bina Husada,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Akademi Kebidanan AK
2581,25628,Akademi Komunitas Negeri AKN Aceh Barat,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Akademi Komunitas Ne
2582,25628,STAMIDIYA Bangkalan,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/STAMIDIYA Bangkalan
2583,25628,Akademi Manajemen Administrasi YPK,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Akademi Manajemen Ad
2584,25628,Akademi Sekretari Budi Luhur,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Akademi Sekretari Bu
2585,25628,Comteq Computer and Business College,Philipine,25491,6553,7212,https://en.wikipedia.org/wiki/Comteq Computer and 
2586,25628,Vietnam Military Political Academy,Vietnam,25491,6553,7212,https://en.wikipedia.org/wiki/Vietnam Military Pol
2587,25628,Institut Keguruan dan Ilmu Pendidikan IKIP PGRI Kaltim,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Institut Keguruan da
2588,25628,Malaysian Institute of Technology Academy,Malaysia,25491,6553,7212,https://en.wikipedia.org/wiki/Malaysian Institute 
2589,25628,Notre Dame of Kidapawan College,Philipine,25491,6553,7212,https://en.wikipedia.org/wiki/Notre Dame of Kidapa
2590,25628,Politeknik Pajajaran Insan Cinta Bangsa Bandung,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Politeknik Pajajaran
2591,25628,Preah Kossomak Polytechnic Institute,Kamboja,25491,6553,7212,https://en.wikipedia.org/wiki/Preah Kossomak Polyt
2592,25628,STAIDA Krempyang Nganjuk,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/STAIDA Krempyang Nga
2593,25628,Sekolah Tinggi Ilmu Ekonomi STIE Dewantara Bogor,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2594,25628,Sekolah Tinggi Ilmu Ekonomi STIE Pertiba Kota Pangkal Pinang,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2595,25628,Sekolah Tinggi Ilmu Kesehatan STIKES Satria Bhakti Nganjuk,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2596,25628,Sekolah Tinggi Ilmu Kesehatan STIKES Widya Cipta Husada,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2597,25628,Sekolah Tinggi Ilmu Pertanian STIPER Kendari,Indonesia,25491,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2598,25711,Universitas Tabanan Kediri Tabanan,Indonesia,28130,6036,7212,https://ror.org/001mzze07
2599,25715,University of Medical Technology Yangon,Myanmar,25579,6553,7212,https://ror.org/013dqcj88
2600,25715,Poltekkes Papua Barat,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Poltekkes Papua Bara
2601,25715,Akademi Farmasi AKFAR Indonesia,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Akademi Farmasi AKFA
2602,25715,Akademi Manajemen Informatika dan Komputer Al Muslim Bekasi,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Akademi Manajemen In
2603,25715,Akademi Maritim Cirebon AMC,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Akademi Maritim Cire
2604,25715,Akademi Televisi Indonesia,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Akademi Televisi Ind
2605,25715,Sekolah Tinggi Manajemen Teknik Informatika dan Komputer STMIK Cikarang Bekasi,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Manaj
2606,25715,(3) Magister Keuangan Daerah Universitas Cenderawasih,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/(3) Magister Keuanga
2607,25715,Politeknik Gajah Tunggal Tangerang,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Politeknik Gajah Tun
2608,25715,Politeknik Pertanian Negeri Payakumbuh,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Politeknik Pertanian
2609,25715,Sekolah Tinggi Agama Islam STAI Al Hidayah Bogor,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Agama
2610,25715,Sekolah Tinggi Desain Indonesia Bandung,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Desai
2611,25715,Sekolah Tinggi Ilmu Kesehatan STIKES Al Maarif Baturaja,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2612,25715,Akademi STIKOM Tunas Bangsa,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Akademi STIKOM Tunas
2613,25715,Universitas MH Thamrin Kampus AKA,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Universitas MH Thamr
2614,25715,Universitas Pembangunan Indonesia Manado,Indonesia,25579,6553,7212,https://en.wikipedia.org/wiki/Universitas Pembangu
2615,25794,Sekolah Tinggi Ilmu Ekonomi STIE STIE Tri Dharma Nusantara,Indonesia,27374,6298,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2616,25795,The Lewis College,Philipine,25660,6553,7212,https://en.wikipedia.org/wiki/The Lewis College
2617,25797,Universitas Nusa Tenggara Barat Mataram,Indonesia,25662,6553,7212,https://ror.org/02e8yt306
2618,25797,Universitas Kristen Papua UKIP Sorong,Indonesia,25662,6553,7212,https://ror.org/031gj7m30
2619,25797,Sekolah Tinggi Ilmu Ekonomi STIE IGI Jakarta,Indonesia,25662,6553,7212,https://ror.org/03cb6na95
2620,25797,Universitas Azzahra,Indonesia,25662,6553,7212,https://ror.org/04nn8h763
2621,25797,Universitas Antakusuma UNTAMA,Indonesia,25662,6553,7212,https://ror.org/04v7cww51
2622,25797,Universitas Indonesia Timur Makassar,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/Universitas Indonesi
2623,25797,Agusan Del Sur College,Philipine,25662,6553,7212,https://en.wikipedia.org/wiki/Agusan Del Sur Colle
2624,25797,Akademi Kimia Analis Caraka Nusantara,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/Akademi Kimia Analis
2625,25797,Consist College,Malaysia,25662,6553,7212,https://en.wikipedia.org/wiki/Consist College
2626,25797,(3) Fakultas Ekonomi Universitas Saburai,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/(3) Fakultas Ekonomi
2627,25797,(3) Kampus Teknik FTI Universitas Jayabaya,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/(3) Kampus Teknik FT
2628,25797,Institut Teknologi Kesehatan Dan Sains Wiyata Husada Samarinda ITKES WHS,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/Institut Teknologi K
2629,25797,Parami Institute,Myanmar,25662,6553,7212,https://en.wikipedia.org/wiki/Parami Institute
2630,25797,Point College,Malaysia,25662,6553,7212,https://en.wikipedia.org/wiki/Point College
2631,25797,Poltekbang Politeknik Penerbangan Makassar,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/Poltekbang Politekni
2632,25797,Poltekkes TNI AU Ciumbuleuit Bandung,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/Poltekkes TNI AU Ciu
2633,25797,STMIK Pranata Indonesia,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/STMIK Pranata Indone
2634,25797,SRI College,Malaysia,25662,6553,7212,https://en.wikipedia.org/wiki/SRI College
2635,25797,Sekolah Tinggi Agama Islam STAI Hasan Jufri Bawean,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Agama
2636,25797,STAI Tuanku Tambusai,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/STAI Tuanku Tambusai
2637,25797,Sekolah Tinggi Filsafat STF YPIB Cirebon,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Filsa
2638,25797,Sekolah Tinggi Ilmu Farmasi STIFI Bhakti Pertiwi,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2639,25797,Sekolah Tinggi Ilmu Kesehatan STIKES YARSI Pontianak,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2640,25797,Sekolah Tinggi Manajemen Informatika dan Komputer STMIK Bandung,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Manaj
2641,25797,STKIP Taman Siswa Bima,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/STKIP Taman Siswa Bi
2642,25797,Universitas Citra Bangsa,Indonesia,28235,6036,7212,https://en.wikipedia.org/wiki/Universitas Citra Ba
2643,25797,Universitas Wahidiyah Kediri,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/Universitas Wahidiya
2644,25797,STIAS Bunda Hati Kudus,Indonesia,25662,6553,7212,https://en.wikipedia.org/wiki/STIAS Bunda Hati Kud
2645,25797,Young Aces Technical College,Malaysia,25662,6553,7212,https://en.wikipedia.org/wiki/Young Aces Technical
2646,25893,Sekolah Tinggi Ilmu Kesehatan STIKES Ngudia Husada Madura,Indonesia,28424,5945,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2647,25894,Akademi Kebidanan AKBID Griya Husada Surabaya,Indonesia,25765,6553,7212,https://en.wikipedia.org/wiki/Akademi Kebidanan AK
2648,25894,Akademi Komunikasi Indonesia AKINDO,Indonesia,25765,6553,7212,https://en.wikipedia.org/wiki/Akademi Komunikasi I
2649,25894,Akademi Keperawatan AKPER YPIB,Indonesia,25765,6553,7212,https://en.wikipedia.org/wiki/Akademi Keperawatan 
2650,25894,East West International College,Malaysia,25765,6553,7212,https://en.wikipedia.org/wiki/East West Internatio
2651,25894,Institut Agama Islam IAI Cirebon,Indonesia,25838,6553,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
2652,25894,Kolej KAGC,Malaysia,25765,6553,7212,https://en.wikipedia.org/wiki/Kolej KAGC
2653,25894,Kings College Malaysia,Malaysia,25765,6553,7212,https://en.wikipedia.org/wiki/Kings College Malays
2654,25894,Politeknik Sekayu Sekayu Musi Banyuasin,Indonesia,25765,6553,7212,https://en.wikipedia.org/wiki/Politeknik Sekayu Se
2655,25894,Poltekbang Palembang,Indonesia,25765,6553,7212,https://en.wikipedia.org/wiki/Poltekbang Palembang
2656,25894,SEDAMAI College,Malaysia,25765,6553,7212,https://en.wikipedia.org/wiki/SEDAMAI College
2657,25894,Sa Kaeo Community College,Thailand,25765,6553,7212,https://en.wikipedia.org/wiki/Sa Kaeo Community Co
2658,25894,Sekolah Tinggi Manajemen Informatika dan Komputer STMIK SPB Airlangga Samarinda,Indonesia,25765,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Manaj
2659,25894,Sekolah Tinggi Ilmu Administrasi dan Manajemen Kepelabuhan STIAMAK Barunawati,Indonesia,25765,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2660,25894,Sekolah Tinggi Ilmu Administrasi STIA Nasional Lhokseumawe,Indonesia,25765,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2661,25894,Sekolah Tinggi Ilmu Kesehatan STIKES Muhammadiyah Lhokseumawe,Indonesia,25765,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2662,25894,Sekolah Tinggi Ilmu Komputer STIKOM Al Khairiyah,Indonesia,25765,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2663,25894,Sekolah Tinggi Teknologi STT Wastukancana Purwakarta,Indonesia,25765,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Tekno
2664,25967,Universitas Pramita Indonesia,Indonesia,25840,6553,7212,https://ror.org/02rbqkj03
2665,25967,Akademi Kebidanan AKBID Graha Husada Cirebon,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/Akademi Kebidanan AK
2666,25967,AKPER Dharma Wacana Metro,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/AKPER Dharma Wacana 
2667,25967,Cyberlynx International College,Malaysia,25840,6553,7212,https://en.wikipedia.org/wiki/Cyberlynx Internatio
2668,25967,Perguruan Tinggi Dharma Wacana,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/Perguruan Tinggi Dha
2669,25967,ITBMP Institut Teknologi dan Bisnis Muhammadiyah Purbalingga,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/ITBMP Institut Tekno
2670,25967,Myeik University,Myanmar,25840,6553,7212,https://en.wikipedia.org/wiki/Myeik University
2671,25967,Politeknik Ubaya Surabaya,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/Politeknik Ubaya Sur
2672,25967,Poltekkes Bhakti Mulia,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/Poltekkes Bhakti Mul
2673,25967,Politeknik Kelautan dan Perikanan Bitung,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/Politeknik Kelautan 
2674,25967,Sekolah Tinggi Agama Islam Sufyan Tsauri STAIS Majenang,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Agama
2675,25967,Sekolah Tinggi Ilmu Islam dan Bahasa Arab STIBA IEC Jakarta,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2676,25967,Sekolah Tinggi Ilmu Kesehatan STIKES Budiluhur Cimahi,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
2677,25967,Sekolah Tinggi Informatika dan Multimedia STIMED Nusa Palapa Makassar,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Infor
2678,25967,Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP Budidaya Binjai,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Kegur
2679,25967,Stradford International College,Malaysia,25840,6553,7212,https://en.wikipedia.org/wiki/Stradford Internatio
2680,25967,Sekolah Tinggi Teknologi Muhammadiyah STTM Kebumen,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Tekno
2681,25967,STT SETIA Sekolah Tinggi Teologi Injil Arastamar,Indonesia,25840,6553,7212,https://en.wikipedia.org/wiki/STT SETIA Sekolah Ti
