Ranking,World Ranking,University,Country,Impact Rank,Openness Rank,Excellence Rank,Uni Profile
1002,13922,Sekolah Tinggi Manajemen Informatika dan Komputer STMIK Royal Sumatera Utara,Indonesia,12243,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Manaj
1003,13941,Chulabhorn Graduate Institute,Thailand,12272,6553,7212,https://ror.org/048e91n87
1004,13950,Institut Bisnis dan Informatika Kosgoro 1957,Indonesia,12283,6553,7212,https://en.wikipedia.org/wiki/Institut Bisnis dan 
1005,13950,Sekolah Tinggi Ilmu Kesehatan STIKES Madani Bantul,Indonesia,12283,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1006,13963,Universitas Ekasakti Padang,Indonesia,18615,4731,7212,https://ror.org/03nhjhr13
1007,13963,Palawan State University,Philipine,18078,6425,6819,https://ror.org/05x5g1486
1008,13963,Hue College of Economics,Vietnam,12300,6553,7212,https://en.wikipedia.org/wiki/Hue College of Econo
1009,13976,Sekolah Tinggi Ilmu Kesehatan STIKES Telogorejo Semarang,Indonesia,16384,5768,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1010,13991,Bhakti Kencana University,Indonesia,19875,3969,7212,https://en.wikipedia.org/wiki/Bhakti Kencana Unive
1011,14021,Seleksi Prestasi Akademik Nasional Perguruan Tinggi Keagamaan Islam Negeri SPAN PTKIN,Indonesia,12367,6553,7212,https://en.wikipedia.org/wiki/Seleksi Prestasi Aka
1012,14069,University of the City of Manila,Philipine,12426,6553,7212,https://ror.org/05yc0wv86
1013,14069,Institut Agama Islam IAI Tabah,Indonesia,14523,6298,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
1014,14069,Poltekkes Jakarta III,Indonesia,19945,3961,7212,https://en.wikipedia.org/wiki/Poltekkes Jakarta II
1015,14085,Auston Institute,Singapore,12444,6553,7212,https://en.wikipedia.org/wiki/Auston Institute
1016,14115,Sekolah Tinggi Ilmu Ekonomi STIE Bhakti Pembangunan,Indonesia,12472,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1017,14121,Politeknik Kelautan dan Perikanan Sorong,Indonesia,12482,6553,7212,https://en.wikipedia.org/wiki/Politeknik Kelautan 
1018,14121,Malaysian Institute of Art,Malaysia,12482,6553,7212,https://en.wikipedia.org/wiki/Malaysian Institute 
1019,14168,TMC Academy,Singapore,12549,6553,7212,https://en.wikipedia.org/wiki/TMC Academy
1020,14188,Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP Singkawang,Indonesia,12578,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Kegur
1021,14188,International Buddhist College,Thailand,12578,6553,7212,https://en.wikipedia.org/wiki/International Buddhi
1022,14203,AMA Computer College Tuguegarao,Philipine,12596,6553,7212,https://en.wikipedia.org/wiki/AMA Computer College
1023,14230,Hanoi University of Business and Technology,Vietnam,12633,6553,7212,https://ror.org/012jv0m98
1024,14230,University of Reading Malaysia,Malaysia,12633,6553,7212,https://en.wikipedia.org/wiki/University of Readin
1025,14230,Sekolah Tinggi Ilmu Ekonomi STIE Semarang,Indonesia,15729,6096,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1026,14243,Universitas Katolik Widya Mandira,Indonesia,12650,6553,7212,https://ror.org/03r6aza38
1027,14243,RCSI & UCD Malaysia Campus (Penang Medical College),Malaysia,12650,6553,7212,https://ror.org/0474gs458
1028,14257,Tan Tao University,Vietnam,12667,6553,7212,https://ror.org/03q6f0894
1029,14257,Sekolah Tinggi Agama Islam Dr KH EZ Muttaqien,Indonesia,12680,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Agama
1030,14279,Politeknik Negeri Balikpapan,Indonesia,12696,6553,7212,https://en.wikipedia.org/wiki/Politeknik Negeri Ba
1031,14315,Universitas Kristen Wira Wacana Sumba,Indonesia,18337,5133,7212,https://en.wikipedia.org/wiki/Universitas Kristen 
1032,14325,Universitas Amir Hamzah,Indonesia,12747,6553,7212,https://ror.org/0166b9n36
1033,14325,(6) St Scholastica's College,Philipine,12748,6553,7212,https://ror.org/01etbpd39
1034,14350,Asia-Pacific International University,Thailand,12783,6553,7212,https://ror.org/00m2sk374
1035,14350,Ateneo de Naga University,Philipine,12783,6553,7212,https://ror.org/021tsqw04
1036,14350,Sekolah Tinggi Ilmu Ekonomi STIE Serelo Kabupaten Lahat,Indonesia,12802,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1037,14368,Sekolah Tinggi Multi Media Training Centre MMTC Yogyakarta,Indonesia,12803,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Multi
1038,14383,Politeknik Ilmu Pelayaran Semarang Jawa Tengah,Indonesia,16529,5875,7212,https://en.wikipedia.org/wiki/Politeknik Ilmu Pela
1039,14393,Universitas Janabadra,Indonesia,12836,6553,7212,https://ror.org/05j20qz36
1040,14400,University of Negros Occidental Recoletos,Philipine,12851,6553,7212,https://ror.org/02c37r983
1041,14411,Institut Seni Budaya Indonesia Aceh Kota Jantho Aceh Besar,Indonesia,16022,6063,7212,https://en.wikipedia.org/wiki/Institut Seni Budaya
